,Fecha,hm,Diff,Pantano,Latidud,Longuitud,lat,lon_x,name,lon_y,time,prec
54,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T01,0.0
55,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T02,0.0
56,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T03,0.0
57,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T04,0.0
58,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T05,0.0
59,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T06,0.0
60,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T07,0.0
61,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T08,0.0
62,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T09,0.0
63,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T10,0.0
64,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T11,0.0
65,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T12,0.0
66,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T13,0.0
67,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T14,0.0
68,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T15,0.0
69,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T16,0.0
70,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T17,0.0
71,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-2.889717,2021-11-07T18,0.0
72,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T19,0.0
73,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T20,0.0
74,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T21,0.0
75,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T22,0.0
76,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T23,0.0
77,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T00,0.0
78,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T01,0.0
79,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T02,0.0
80,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T03,0.0
81,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T04,0.0
82,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T05,0.0
83,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T06,0.0
84,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T07,0.0
85,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T08,0.0
86,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T09,0.0
87,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T10,0.0
88,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T11,0.0
89,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T12,0.0
90,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T13,0.0
91,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T14,0.0
92,07-11-2021  19:00,13.73,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T15,0.0
